Timestamp,Q1_Employment_Status,Q2_Highest_Education,Q3_Age_Group,Q4_City_Residence,Q5_Monthly_Household_Income_XAF,Q6_Household_Size_Supported,Q7_Bulk_Food_Frequency,Q8_Percentage_Income_To_Food,Q9_Reduced_Food_Quality_Quantity,Q10_Monthly_Food_Spend_XAF_Numeric,Q11_Estimated_5Yr_Food_Bill_Increase,Q12_Most_Dramatic_Increased_Food_Item,Q13_Monthly_Transport_Spend,Q14_Fuel_Prices_Impact_Scale_1_5,Q15_Primary_Transportation_Mode,Q16_Paid_Transport_Trips_Per_Week,Q17_Estimated_5Yr_Transport_Fare_Increase_Percent,Q18_Times_Moved_Due_To_Rent,Q19_Power_Cuts_Extra_Spend,Q20_Percentage_Income_To_Rent,Q21_Monthly_Rent_XAF_Numeric,Q22_Monthly_Utilities_Combined_XAF_Numeric,Q23_Rent_Increased_Last_2_Years,Q24_Skipped_Medical_Treatment_Cost,Q25_Schooling_Cost_Increased_Scale_1_5,Q26_Has_Health_Insurance,Q27_Average_Monthly_Healthcare_Spend_XAF_Numeric,Q28_School_Fees_Per_Child_XAF_Numeric,Q29_Highest_Burden_Expenditure_Category,Q30_Expect_Cost_Of_Living_Increase_5Yrs,Q31_Taken_Measures_To_Cope,Q32_Primary_Contributor_To_Cost_Of_Living,Q33_Year_Noticeable_Impact
2026/05/28 02:21:54 PM,Self-employed,Other,18-25,Bafoussam,"200,001-500,000",6,Never,Less than 20%,"Yes, only quality",151322,"5,000-15,000",Fish / Meat,"10,000-20,000",5,Private car/bike/bicycle,11,26%-50%,Twice,Never,More than 50%,95644,21286,I own my home,"Yes, more than once",5,No,8911,150000,Education,Definitely yes,Started a small business; Reduced spending,Government policies,2022
2026/05/28 02:24:10 PM,Student,Undergraduate,56 - above,Kribi,"Above 500,000",4,Never,Less than 20%,"Yes, only quantity",264224,"More than 30,000",Fish / Meat,"10,000-20,000",4,Bike,4,26%-50%,Never,Rarely,36-50%,0,8048,I own my home,"Yes, more than once",4,Yes,26498,75000,Education,Uncertain,Started a small business; Reduced spending; Taking a second job,Fuel prices,2018
2026/05/28 02:36:39 PM,Unemployed,Undergraduate,26-35,Garoua,"Above 500,000",7,Rarely,20-40%,"Yes, only quality",310067,"15001-30,000",Fish / Meat,"20,001-30,000",4,Private car/bike/bicycle,0,Less than 10%,Once,Never,36-50%,166323,4609,Yes,No,3,Yes,4990,35000,Education,Uncertain,Taking a second job,Inflation (rising prices),2022
2026/05/28 02:41:18 PM,Unemployed,Other,26-35,Douala,"100,001-200,000",1,Never,20-40%,No,67927,"Less than 5,000",Rice,"20,001-30,000",3,Walking,11,More than 50%,Once,Rarely,Less than 20%,51859,7586,Yes,"Yes, more than once",4,Yes,16686,150000,Food,Definitely yes,Borrowed money; Taking a second job; Reduced spending,Currency depreciation,2020
2026/05/28 02:45:13 PM,Employed,Vocational,36-45,Kribi,"100,001-200,000",8,Never,41-60%,No,72196,"Less than 5,000",Cooking oil,"20,001-30,000",4,Walking,5,26%-50%,Twice,"Yes, occasionally",More than 50%,0,16490,Yes,"Yes, more than once",4,Yes,7157,75000,Rent,Definitely yes,Borrowed money,Government policies,2020
2026/05/28 02:51:01 PM,Self-employed,Other,18-25,Bamenda,"Below 50,000",6,Never,20-40%,"Yes, only quantity",12432,"15001-30,000",Cooking oil,"Below 10,000",3,Public bus,12,10-25%,Once,"Yes, occasionally",36-50%,8869,21583,Yes,"Yes, more than once",4,Yes,5519,75000,Transportation,No,Started a small business; Taking a second job,Inflation (rising prices),2026
2026/05/28 02:57:43 PM,Unemployed,Other,56 - above,Buea,"200,001-500,000",6,Always,20-40%,"Yes, only quantity",190223,"Less than 5,000",Cooking oil,"10,000-20,000",5,Bike,13,10-25%,More than twice,Rarely,Less than 20%,0,12849,No,No,3,Yes,34988,0,Healthcare,Definitely no,Started a small business; Taking a second job,Other,2020
2026/05/28 02:59:30 PM,Self-employed,Vocational,26-35,Kribi,"50,000-100,000",6,Always,Less than 20%,"Yes, only quantity",26372,"More than 30,000",Fish / Meat,"Above 30,000",4,Walking,13,More than 50%,Once,"Yes, occasionally",Less than 20%,18581,7106,Yes,"Yes, once",5,No,10908,0,Healthcare,No,Taking a second job; Reduced spending,Other,2021
2026/05/28 03:11:41 PM,Self-employed,Postgraduate,26-35,Maroua,"100,001-200,000",1,Sometimes,41-60%,"Yes, only quantity",47553,"Less than 5,000",Fish / Meat,"10,000-20,000",4,Private car/bike/bicycle,4,More than 50%,Never,Rarely,20-35%,34709,12494,I own my home,"Yes, once",4,Yes,26455,35000,Utilities,Definitely no,Reduced spending,Government policies,2020
2026/05/28 03:25:51 PM,Employed,Vocational,46-55,Bafoussam,"Below 50,000",8,Never,41-60%,"Yes, both quantity and quality",19038,"15001-30,000",Bread,"Above 30,000",3,Private car/bike/bicycle,14,26%-50%,Once,Rarely,More than 50%,0,3808,I own my home,"Yes, once",5,No,10984,0,Utilities,Uncertain,Relocated to a cheaper area,Currency depreciation,2024
2026/05/28 03:37:52 PM,Self-employed,Other,18-25,Kribi,"50,000-100,000",4,Sometimes,41-60%,No,27016,"15001-30,000",Rice,"Above 30,000",3,Walking,6,26%-50%,Twice,Never,Less than 20%,15312,20042,Yes,No,5,Yes,12024,75000,Healthcare,Uncertain,Taking a second job; Borrowed money; Reduced spending,Inflation (rising prices),2021
2026/05/28 03:41:28 PM,Student,Vocational,46-55,Garoua,"Above 500,000",1,Rarely,more than 60%,"Yes, both quantity and quality",279175,"5,000-15,000",Fish / Meat,"10,000-20,000",3,Public bus,3,Less than 10%,Once,"Yes, frequently",Less than 20%,257151,15518,I own my home,"Yes, more than once",4,No,27196,0,Healthcare,Definitely yes,Started a small business,Fuel prices,2025
2026/05/28 03:46:37 PM,Unemployed,Other,46-55,Kribi,"Above 500,000",3,Sometimes,more than 60%,"Yes, both quantity and quality",284543,"15001-30,000",Onions & Tomatoes,"Above 30,000",3,Bike,2,More than 50%,More than twice,"Yes, frequently",36-50%,158360,6471,No,"Yes, once",4,No,4252,35000,Food,Uncertain,Taking a second job,Currency depreciation,2023
2026/05/28 03:53:15 PM,Student,Undergraduate,46-55,Maroua,"200,001-500,000",7,Never,more than 60%,"Yes, both quantity and quality",126490,"15001-30,000",Plantains / Cassava,"20,001-30,000",3,Public bus,0,10-25%,Never,"Yes, occasionally",20-35%,134039,9866,No,No,4,No,22652,300000,Utilities,Probably no,Started a small business; Taking a second job,Fuel prices,2019
2026/05/28 04:05:01 PM,Employed,Postgraduate,18-25,Douala,"200,001-500,000",8,Rarely,Less than 20%,"Yes, only quantity",155164,"15001-30,000",Onions & Tomatoes,"Below 10,000",5,Bike,4,26%-50%,More than twice,Never,20-35%,117257,9840,Yes,"Yes, once",3,Yes,17634,75000,Education,Probably no,Relocated to a cheaper area; Borrowed money,Fuel prices,2021
2026/05/28 04:07:29 PM,Student,Vocational,56 - above,Garoua,"100,001-200,000",8,Rarely,20-40%,"Yes, only quantity",79092,"More than 30,000",Fish / Meat,"10,000-20,000",5,Public bus,6,10-25%,Once,Never,More than 50%,56008,14425,Yes,"Yes, once",3,Yes,31443,75000,Utilities,Probably yes,Started a small business,Government policies,2024
2026/05/28 04:21:41 PM,Employed,Undergraduate,46-55,Kribi,"Below 50,000",8,Rarely,41-60%,"Yes, only quantity",19650,"More than 30,000",Fish / Meat,"Below 10,000",4,Private car/bike/bicycle,12,More than 50%,More than twice,Rarely,Less than 20%,10886,14009,No,"Yes, more than once",5,No,9123,75000,Rent,Definitely no,Reduced spending; Started a small business,Currency depreciation,2019
2026/05/28 04:32:44 PM,Self-employed,Undergraduate,18-25,Kribi,"100,001-200,000",1,Sometimes,20-40%,"Yes, only quality",56839,"Less than 5,000",Fish / Meat,"Below 10,000",5,Private car/bike/bicycle,6,Less than 10%,Never,Never,More than 50%,0,9879,Yes,"Yes, once",4,No,24125,300000,Healthcare,Definitely yes,Started a small business; Borrowed money; Relocated to a cheaper area,Inflation (rising prices),2025
2026/05/28 04:44:22 PM,Self-employed,Postgraduate,56 - above,Buea,"200,001-500,000",1,Always,Less than 20%,"Yes, only quantity",152306,"Less than 5,000",Onions & Tomatoes,"Above 30,000",5,Walking,7,Less than 10%,Once,Never,36-50%,88481,19360,Yes,No,5,Yes,30866,150000,Education,Definitely no,Started a small business; Reduced spending; Relocated to a cheaper area,Other,2026
2026/05/28 04:56:02 PM,Unemployed,Vocational,56 - above,Douala,"50,000-100,000",1,Rarely,41-60%,"Yes, only quantity",26180,"More than 30,000",Plantains / Cassava,"Above 30,000",3,Private car/bike/bicycle,6,26%-50%,Once,"Yes, occasionally",Less than 20%,27823,10736,I own my home,"Yes, more than once",5,No,25520,150000,Healthcare,Probably no,Borrowed money; Started a small business; Reduced spending,Government policies,2021
2026/05/28 05:03:05 PM,Student,Postgraduate,46-55,Douala,"Above 500,000",8,Rarely,41-60%,"Yes, only quantity",265307,"More than 30,000",Bread,"Below 10,000",4,Walking,14,10-25%,More than twice,Never,36-50%,199199,19678,I own my home,"Yes, once",4,Yes,30491,300000,Utilities,Uncertain,Relocated to a cheaper area; Started a small business; Borrowed money,Other,2020
2026/05/28 05:05:42 PM,Self-employed,Postgraduate,26-35,Buea,"100,001-200,000",8,Sometimes,20-40%,No,54656,"More than 30,000",Plantains / Cassava,"Below 10,000",3,Public bus,12,More than 50%,Twice,Never,More than 50%,59173,17316,No,No,5,No,24670,75000,Utilities,Definitely no,Started a small business,Other,2019
2026/05/28 05:09:42 PM,Self-employed,Other,36-45,Bamenda,"Above 500,000",2,Rarely,20-40%,"Yes, both quantity and quality",313610,"5,000-15,000",Onions & Tomatoes,"20,001-30,000",3,Walking,3,26%-50%,Never,Never,Less than 20%,0,5733,I own my home,No,5,Yes,19542,0,Rent,Probably yes,Taking a second job; Relocated to a cheaper area; Reduced spending,Other,2023
2026/05/28 05:22:09 PM,Self-employed,Other,46-55,Kribi,"50,000-100,000",7,Rarely,41-60%,"Yes, only quantity",22941,"Less than 5,000",Rice,"20,001-30,000",3,Private car/bike/bicycle,8,Less than 10%,More than twice,"Yes, frequently",36-50%,23992,13128,I own my home,No,5,Yes,7146,75000,Transportation,Definitely no,Relocated to a cheaper area; Borrowed money; Reduced spending,Other,2021
2026/05/28 05:30:56 PM,Student,Other,46-55,Bamenda,"Below 50,000",8,Sometimes,more than 60%,"Yes, both quantity and quality",15160,"5,000-15,000",Bread,"Below 10,000",3,Private car/bike/bicycle,11,Less than 10%,Twice,Never,20-35%,14799,4078,I own my home,"Yes, more than once",5,Yes,17194,300000,Healthcare,Probably yes,Started a small business; Borrowed money,Other,2020
2026/05/28 05:45:03 PM,Student,Vocational,26-35,Kribi,"50,000-100,000",3,Always,more than 60%,"Yes, both quantity and quality",39036,"More than 30,000",Cooking oil,"10,000-20,000",4,Public bus,10,More than 50%,More than twice,Never,More than 50%,22816,9177,Yes,"Yes, once",5,No,19408,75000,Rent,Probably yes,Borrowed money; Reduced spending; Started a small business,Fuel prices,2024
2026/05/28 05:50:13 PM,Unemployed,Postgraduate,36-45,Bamenda,"Above 500,000",7,Sometimes,41-60%,"Yes, both quantity and quality",211256,"More than 30,000",Onions & Tomatoes,"Below 10,000",3,Walking,3,More than 50%,Twice,Rarely,More than 50%,222278,19944,I own my home,No,5,Yes,28324,300000,Healthcare,Probably yes,Taking a second job; Relocated to a cheaper area,Other,2026
2026/05/28 06:05:43 PM,Self-employed,Postgraduate,26-35,Garoua,"Above 500,000",3,Never,20-40%,"Yes, only quality",275720,"More than 30,000",Onions & Tomatoes,"Above 30,000",5,Walking,10,Less than 10%,Never,Never,More than 50%,214748,22790,I own my home,"Yes, once",3,No,11033,300000,Utilities,Probably yes,Taking a second job,Fuel prices,2026
2026/05/28 06:15:27 PM,Unemployed,Postgraduate,36-45,Garoua,"Above 500,000",6,Sometimes,20-40%,"Yes, both quantity and quality",272080,"15001-30,000",Bread,"Above 30,000",5,Private car/bike/bicycle,13,Less than 10%,Twice,Never,Less than 20%,210180,3061,No,"Yes, once",3,No,31099,150000,Transportation,Probably no,Reduced spending; Started a small business; Relocated to a cheaper area,Inflation (rising prices),2023
2026/05/28 06:29:14 PM,Self-employed,Vocational,46-55,Garoua,"100,001-200,000",8,Sometimes,Less than 20%,No,70549,"15001-30,000",Plantains / Cassava,"Above 30,000",3,Walking,4,10-25%,Twice,"Yes, frequently",More than 50%,30030,24178,No,"Yes, more than once",4,Yes,30308,300000,Utilities,No,Started a small business,Other,2026
2026/05/28 06:43:58 PM,Self-employed,Undergraduate,18-25,Douala,"100,001-200,000",6,Always,Less than 20%,No,59823,"5,000-15,000",Cooking oil,"10,000-20,000",3,Bike,11,More than 50%,Once,Rarely,Less than 20%,59641,22963,I own my home,"Yes, more than once",3,No,11457,150000,Healthcare,Probably yes,Borrowed money; Relocated to a cheaper area; Started a small business,Other,2020
2026/05/28 06:58:34 PM,Employed,Undergraduate,18-25,Bafoussam,"200,001-500,000",5,Sometimes,Less than 20%,"Yes, only quality",110766,"Less than 5,000",Fish / Meat,"Above 30,000",4,Private car/bike/bicycle,6,10-25%,More than twice,"Yes, frequently",20-35%,129442,5351,No,"Yes, once",5,Yes,2854,0,Utilities,Probably no,Relocated to a cheaper area; Reduced spending,Inflation (rising prices),2024
2026/05/28 07:04:48 PM,Unemployed,Other,46-55,Bamenda,"Above 500,000",3,Always,41-60%,"Yes, only quantity",222630,"Less than 5,000",Rice,"20,001-30,000",4,Private car/bike/bicycle,1,Less than 10%,Twice,Rarely,Less than 20%,249334,10568,Yes,"Yes, more than once",3,No,7511,300000,Food,Probably no,Started a small business; Relocated to a cheaper area,Government policies,2023
2026/05/28 07:20:20 PM,Self-employed,Vocational,26-35,Buea,"Above 500,000",3,Always,more than 60%,No,322512,"More than 30,000",Rice,"Below 10,000",5,Walking,0,Less than 10%,Once,Rarely,36-50%,233804,18633,I own my home,No,4,No,25322,150000,Transportation,Probably yes,Started a small business,Fuel prices,2019
2026/05/28 07:25:58 PM,Self-employed,Undergraduate,46-55,Bamenda,"100,001-200,000",1,Sometimes,20-40%,"Yes, only quantity",71285,"Less than 5,000",Fish / Meat,"10,000-20,000",4,Public bus,2,Less than 10%,More than twice,"Yes, frequently",More than 50%,41281,21955,No,"Yes, more than once",5,Yes,21715,75000,Food,Definitely no,Started a small business,Fuel prices,2020
2026/05/28 07:33:35 PM,Unemployed,Postgraduate,56 - above,Kribi,"Above 500,000",1,Always,Less than 20%,"Yes, only quality",206077,"5,000-15,000",Onions & Tomatoes,"20,001-30,000",3,Bike,8,More than 50%,Never,"Yes, frequently",36-50%,140918,4663,I own my home,"Yes, once",5,Yes,27932,300000,Food,Probably no,Reduced spending,Government policies,2021
2026/05/28 07:37:15 PM,Self-employed,Other,18-25,Maroua,"Below 50,000",8,Never,more than 60%,No,20569,"15001-30,000",Fish / Meat,"10,000-20,000",3,Walking,5,26%-50%,Twice,"Yes, frequently",20-35%,0,12964,I own my home,No,5,No,28785,300000,Healthcare,Definitely yes,Relocated to a cheaper area,Other,2019
2026/05/28 07:43:52 PM,Self-employed,Vocational,18-25,Buea,"Below 50,000",8,Sometimes,20-40%,"Yes, only quality",20417,"Less than 5,000",Onions & Tomatoes,"20,001-30,000",5,Bike,6,Less than 10%,Twice,Rarely,More than 50%,9326,9278,Yes,"Yes, more than once",5,No,11281,35000,Healthcare,Definitely no,Taking a second job; Relocated to a cheaper area,Government policies,2024
2026/05/28 07:54:40 PM,Student,Other,46-55,Bamenda,"Above 500,000",4,Always,20-40%,No,249229,"More than 30,000",Rice,"10,000-20,000",4,Bike,10,More than 50%,Once,"Yes, frequently",Less than 20%,204539,14239,No,No,5,No,26296,300000,Utilities,Probably yes,Taking a second job,Government policies,Before 2018
2026/05/28 08:00:24 PM,Employed,Other,36-45,Kribi,"Below 50,000",7,Rarely,Less than 20%,"Yes, only quality",16333,"Less than 5,000",Bread,"10,000-20,000",3,Private car/bike/bicycle,13,Less than 10%,More than twice,"Yes, frequently",More than 50%,11296,16945,Yes,"Yes, once",5,Yes,2501,150000,Education,Definitely yes,Started a small business,Inflation (rising prices),2021
2026/05/28 08:03:32 PM,Unemployed,Postgraduate,18-25,Buea,"Below 50,000",5,Rarely,20-40%,No,14958,"5,000-15,000",Bread,"10,000-20,000",5,Walking,11,Less than 10%,Never,Rarely,20-35%,15450,4168,I own my home,"Yes, more than once",3,No,24132,35000,Healthcare,Probably no,Taking a second job; Borrowed money,Government policies,2022
2026/05/28 08:06:31 PM,Student,Other,26-35,Yaounde,"100,001-200,000",1,Never,more than 60%,"Yes, only quantity",58771,"More than 30,000",Cooking oil,"20,001-30,000",5,Private car/bike/bicycle,1,26%-50%,Never,"Yes, occasionally",36-50%,30948,22115,No,No,4,No,18940,75000,Transportation,Definitely no,Borrowed money,Government policies,2018
2026/05/28 08:10:58 PM,Self-employed,Postgraduate,36-45,Bamenda,"100,001-200,000",2,Always,Less than 20%,"Yes, both quantity and quality",79173,"15001-30,000",Bread,"10,000-20,000",4,Private car/bike/bicycle,13,26%-50%,More than twice,Rarely,20-35%,35200,13637,I own my home,No,4,Yes,19244,75000,Transportation,No,Reduced spending; Started a small business,Currency depreciation,2026
2026/05/28 08:15:33 PM,Employed,Other,36-45,Maroua,"200,001-500,000",4,Never,more than 60%,No,147896,"Less than 5,000",Fish / Meat,"Below 10,000",5,Private car/bike/bicycle,3,More than 50%,Twice,"Yes, occasionally",More than 50%,116901,24855,No,"Yes, more than once",4,Yes,34533,150000,Rent,Uncertain,Borrowed money; Reduced spending,Government policies,2025
2026/05/28 08:31:23 PM,Employed,Vocational,46-55,Garoua,"50,000-100,000",2,Sometimes,more than 60%,"Yes, only quality",28410,"5,000-15,000",Cooking oil,"Above 30,000",4,Bike,7,Less than 10%,Once,"Yes, occasionally",36-50%,29102,6932,No,"Yes, more than once",5,Yes,8437,150000,Healthcare,No,Borrowed money; Relocated to a cheaper area; Started a small business,Inflation (rising prices),2018
2026/05/28 08:42:34 PM,Employed,Vocational,36-45,Buea,"50,000-100,000",8,Sometimes,20-40%,"Yes, only quantity",28784,"More than 30,000",Bread,"20,001-30,000",3,Bike,7,26%-50%,Twice,Rarely,Less than 20%,17468,16593,I own my home,No,5,Yes,22059,35000,Healthcare,Definitely no,Relocated to a cheaper area; Started a small business,Other,2023
2026/05/28 08:47:32 PM,Unemployed,Postgraduate,26-35,Maroua,"50,000-100,000",6,Never,more than 60%,No,24197,"5,000-15,000",Rice,"Above 30,000",3,Private car/bike/bicycle,1,10-25%,Once,"Yes, frequently",36-50%,16103,3030,Yes,"Yes, more than once",5,Yes,32704,35000,Food,Uncertain,Reduced spending; Relocated to a cheaper area,Fuel prices,2025
2026/05/28 08:57:00 PM,Employed,Other,46-55,Bafoussam,"200,001-500,000",6,Never,more than 60%,"Yes, both quantity and quality",179712,"Less than 5,000",Plantains / Cassava,"20,001-30,000",4,Public bus,9,26%-50%,Once,Never,20-35%,129995,18831,No,No,3,No,5421,300000,Utilities,Definitely no,Relocated to a cheaper area; Borrowed money,Currency depreciation,2019
2026/05/28 09:12:34 PM,Employed,Undergraduate,56 - above,Douala,"200,001-500,000",8,Rarely,more than 60%,"Yes, only quantity",160721,"15001-30,000",Cooking oil,"Above 30,000",4,Bike,11,26%-50%,Twice,"Yes, frequently",More than 50%,102955,4107,No,"Yes, more than once",5,No,19902,150000,Rent,No,Taking a second job; Reduced spending,Government policies,2022
2026/05/28 09:27:05 PM,Unemployed,Postgraduate,26-35,Douala,"Below 50,000",8,Sometimes,Less than 20%,"Yes, only quality",15857,"Less than 5,000",Rice,"Above 30,000",3,Private car/bike/bicycle,13,26%-50%,Never,Rarely,20-35%,12532,12674,I own my home,"Yes, once",4,No,30118,150000,Healthcare,Definitely yes,Borrowed money; Reduced spending,Currency depreciation,2023
2026/05/28 09:29:18 PM,Unemployed,Undergraduate,56 - above,Douala,"50,000-100,000",8,Rarely,20-40%,"Yes, only quantity",39182,"5,000-15,000",Plantains / Cassava,"Above 30,000",4,Walking,10,Less than 10%,More than twice,"Yes, occasionally",20-35%,29502,22355,No,No,5,No,3091,75000,Healthcare,Probably no,Borrowed money; Reduced spending; Relocated to a cheaper area,Inflation (rising prices),2025
2026/05/28 09:30:31 PM,Unemployed,Postgraduate,36-45,Yaounde,"200,001-500,000",6,Never,20-40%,"Yes, only quantity",142519,"More than 30,000",Onions & Tomatoes,"Below 10,000",3,Public bus,10,More than 50%,Never,Rarely,Less than 20%,0,18564,I own my home,No,4,No,10394,300000,Rent,No,Borrowed money; Relocated to a cheaper area,Inflation (rising prices),2018
2026/05/28 09:39:33 PM,Unemployed,Vocational,56 - above,Douala,"200,001-500,000",8,Sometimes,41-60%,No,131905,"More than 30,000",Plantains / Cassava,"Above 30,000",5,Private car/bike/bicycle,5,Less than 10%,Once,"Yes, occasionally",More than 50%,0,21115,No,"Yes, more than once",4,Yes,18481,0,Rent,No,Borrowed money; Relocated to a cheaper area; Taking a second job,Currency depreciation,2021
2026/05/28 09:43:17 PM,Unemployed,Postgraduate,56 - above,Garoua,"Above 500,000",7,Always,20-40%,"Yes, only quality",292099,"Less than 5,000",Bread,"Below 10,000",4,Bike,5,10-25%,More than twice,Never,Less than 20%,198105,12904,I own my home,No,3,No,20800,0,Food,Definitely yes,Borrowed money,Other,2026
2026/05/28 09:58:00 PM,Self-employed,Vocational,36-45,Bamenda,"100,001-200,000",7,Sometimes,20-40%,"Yes, both quantity and quality",62471,"5,000-15,000",Plantains / Cassava,"10,000-20,000",3,Bike,2,More than 50%,More than twice,"Yes, occasionally",36-50%,44007,22687,No,"Yes, once",4,Yes,27922,150000,Food,Definitely yes,Taking a second job,Other,2018
2026/05/28 10:09:57 PM,Self-employed,Undergraduate,26-35,Douala,"50,000-100,000",6,Rarely,20-40%,"Yes, only quality",39972,"More than 30,000",Fish / Meat,"20,001-30,000",4,Walking,11,Less than 10%,Once,"Yes, frequently",36-50%,0,9517,I own my home,"Yes, once",3,No,8660,35000,Rent,Definitely yes,Relocated to a cheaper area,Currency depreciation,Before 2018
2026/05/28 10:23:43 PM,Employed,Vocational,56 - above,Kribi,"100,001-200,000",2,Never,20-40%,No,59291,"Less than 5,000",Rice,"10,000-20,000",3,Bike,1,26%-50%,Once,Never,Less than 20%,50110,17675,I own my home,No,3,Yes,31107,35000,Rent,No,Taking a second job,Fuel prices,2026
2026/05/28 10:33:27 PM,Self-employed,Postgraduate,46-55,Bamenda,"Above 500,000",4,Never,20-40%,"Yes, only quality",242444,"15001-30,000",Cooking oil,"Above 30,000",3,Private car/bike/bicycle,2,10-25%,More than twice,Never,36-50%,251982,14332,No,"Yes, once",4,Yes,6969,75000,Healthcare,No,Started a small business,Other,2025
2026/05/28 10:34:34 PM,Unemployed,Postgraduate,46-55,Yaounde,"Above 500,000",7,Never,41-60%,"Yes, only quantity",266945,"More than 30,000",Rice,"20,001-30,000",5,Private car/bike/bicycle,11,Less than 10%,Twice,Rarely,20-35%,188926,9980,I own my home,No,5,No,23766,300000,Rent,Uncertain,Taking a second job; Reduced spending,Government policies,2018
2026/05/28 10:47:50 PM,Student,Vocational,18-25,Bamenda,"200,001-500,000",6,Sometimes,41-60%,"Yes, only quantity",112235,"15001-30,000",Cooking oil,"10,000-20,000",4,Private car/bike/bicycle,6,More than 50%,Never,Never,36-50%,78843,13247,Yes,"Yes, once",3,Yes,15107,0,Transportation,Definitely no,Started a small business,Government policies,2021
2026/05/28 10:53:20 PM,Student,Undergraduate,26-35,Bafoussam,"50,000-100,000",5,Always,more than 60%,"Yes, only quality",40835,"More than 30,000",Bread,"Below 10,000",5,Private car/bike/bicycle,5,26%-50%,Never,Never,More than 50%,24293,12918,No,"Yes, more than once",5,Yes,8203,75000,Rent,Definitely yes,Relocated to a cheaper area,Government policies,2020
2026/05/28 10:55:31 PM,Student,Vocational,26-35,Buea,"Above 500,000",3,Never,41-60%,"Yes, both quantity and quality",318725,"5,000-15,000",Bread,"20,001-30,000",3,Public bus,14,10-25%,Once,Rarely,More than 50%,243681,10017,I own my home,"Yes, more than once",4,No,24960,0,Healthcare,Definitely no,Taking a second job; Started a small business,Other,2020
2026/05/28 11:02:02 PM,Self-employed,Undergraduate,18-25,Garoua,"100,001-200,000",4,Rarely,more than 60%,No,67659,"More than 30,000",Onions & Tomatoes,"Below 10,000",5,Walking,13,26%-50%,Never,"Yes, occasionally",Less than 20%,31031,19451,I own my home,"Yes, more than once",3,Yes,17528,35000,Transportation,Probably yes,Relocated to a cheaper area,Fuel prices,2022
2026/05/28 11:17:26 PM,Student,Postgraduate,56 - above,Kribi,"50,000-100,000",2,Sometimes,41-60%,"Yes, only quantity",31083,"Less than 5,000",Bread,"20,001-30,000",3,Private car/bike/bicycle,9,26%-50%,Twice,"Yes, frequently",20-35%,17234,22144,I own my home,"Yes, more than once",5,Yes,19744,150000,Education,Probably yes,Borrowed money; Relocated to a cheaper area; Taking a second job,Government policies,2019
2026/05/28 11:26:16 PM,Unemployed,Postgraduate,18-25,Bafoussam,"Below 50,000",4,Always,41-60%,"Yes, only quantity",18004,"5,000-15,000",Onions & Tomatoes,"20,001-30,000",5,Bike,10,26%-50%,Never,"Yes, frequently",20-35%,14878,21278,Yes,No,5,No,17720,35000,Utilities,Definitely yes,Started a small business,Fuel prices,2023
2026/05/28 11:34:18 PM,Employed,Vocational,18-25,Kribi,"100,001-200,000",7,Never,41-60%,No,50037,"More than 30,000",Bread,"20,001-30,000",4,Walking,2,More than 50%,Twice,Rarely,More than 50%,43189,10016,No,"Yes, once",5,No,26019,35000,Rent,Definitely yes,Relocated to a cheaper area; Started a small business,Fuel prices,2025
2026/05/28 11:36:40 PM,Self-employed,Other,56 - above,Kribi,"100,001-200,000",2,Rarely,more than 60%,"Yes, only quality",49650,"15001-30,000",Cooking oil,"Below 10,000",3,Walking,0,26%-50%,Twice,Never,More than 50%,57279,13722,I own my home,"Yes, once",4,No,7301,35000,Healthcare,Uncertain,Taking a second job; Relocated to a cheaper area,Other,2021
2026/05/28 11:46:11 PM,Employed,Undergraduate,26-35,Bamenda,"50,000-100,000",4,Sometimes,Less than 20%,"Yes, only quantity",40403,"5,000-15,000",Rice,"Below 10,000",4,Bike,9,10-25%,Never,"Yes, frequently",20-35%,23751,9189,No,"Yes, more than once",3,Yes,32463,150000,Education,Probably yes,Reduced spending; Taking a second job,Government policies,2024
2026/05/28 11:54:27 PM,Employed,Other,36-45,Garoua,"200,001-500,000",1,Never,41-60%,"Yes, only quality",181121,"5,000-15,000",Fish / Meat,"Above 30,000",3,Walking,2,26%-50%,More than twice,Never,More than 50%,129584,22961,I own my home,"Yes, more than once",4,Yes,6970,75000,Education,Probably yes,Taking a second job,Fuel prices,2019
2026/05/28 11:55:33 PM,Self-employed,Undergraduate,56 - above,Bamenda,"Above 500,000",6,Always,41-60%,"Yes, only quality",284385,"More than 30,000",Plantains / Cassava,"10,000-20,000",3,Walking,4,More than 50%,Never,"Yes, occasionally",20-35%,143834,18960,Yes,No,3,Yes,17496,150000,Healthcare,Definitely no,Started a small business,Inflation (rising prices),2022
2026/05/29 12:06:46 AM,Self-employed,Undergraduate,18-25,Douala,"100,001-200,000",4,Always,more than 60%,"Yes, both quantity and quality",75857,"Less than 5,000",Plantains / Cassava,"10,000-20,000",5,Public bus,2,More than 50%,Never,Never,More than 50%,33295,17471,Yes,"Yes, once",3,No,15232,0,Utilities,Probably no,Started a small business; Relocated to a cheaper area,Inflation (rising prices),2026
