Respondent_ID,Q1_Employment_Status,Q2_Highest_Education,Q3_Age_Group,Q4_City_Residence,Q5_Monthly_Household_Income_XAF,Q6_Household_Size_Supported,Q7_Bulk_Food_Frequency,Q8_Percentage_Income_To_Food,Q9_Reduced_Food_Quality_Quantity,Q10_Monthly_Food_Spend_XAF_Numeric,Q11_Estimated_5Yr_Food_Bill_Increase,Q12_Most_Dramatic_Increased_Food_Item,Q13_Monthly_Transport_Spend,Q14_Fuel_Prices_Impact_Scale_1_5,Q15_Primary_Transportation_Mode,Q16_Paid_Transport_Trips_Per_Week,Q17_Estimated_5Yr_Transport_Fare_Increase_Percent,Q18_Times_Moved_Due_To_Rent,Q19_Power_Cuts_Extra_Spend,Q20_Percentage_Income_To_Rent,Q21_Monthly_Rent_XAF_Numeric,Q22_Monthly_Utilities_Combined_XAF_Numeric,Q23_Rent_Increased_Last_2_Years,Q24_Skipped_Medical_Treatment_Cost,Q25_Schooling_Cost_Increased_Scale_1_5,Q26_Has_Health_Insurance,Q27_Average_Monthly_Healthcare_Spend_XAF_Numeric,Q28_School_Fees_Per_Child_XAF_Numeric,Q29_Highest_Burden_Expenditure_Category,Q30_Expect_Cost_Of_Living_Increase_5Yrs,Q31_Taken_Measures_To_Cope,Q32_Primary_Contributor_To_Cost_Of_Living,Q33_Year_Noticeable_Impact
RESP_0199,Self-employed,Undergraduate,26-35,Garoua,"50,000-100,000",1,Always,more than 60%,No,30635,"5,000-15,000",Bread,"20,001-30,000",4,Walking,4,Less than 10%,Once,Never,More than 50%,0,21306,No,"Yes, more than once",3,Yes,2828,150000,Education,Probably yes,Reduced spending; Started a small business,Government policies,2018
RESP_0200,Unemployment,Vocational,56 - above,Garoua,"100,001-200,000",7,Always,Less than 20%,"Yes, only quality",71538,"More than 30,000",Rice,"Below 10,000",4,Public bus,11,More than 50%,Never,"Yes, frequently",More than 50%,0,10909,No,"Yes, more than once",4,Yes,22154,0,Rent,Probably yes,Reduced spending; Borrowed money,Currency depreciation,2023
RESP_0201,Self-employed,Other,46-55,Kribi,"50,000-100,000",8,Always,41-60%,"Yes, only quantity",28790,"More than 30,000",Plantains / Cassava,"Above 30,000",3,Public bus,11,More than 50%,More than twice,"Yes, occasionally",20-35%,16816,13969,I own my home,"Yes, once",4,Yes,32682,75000,Education,No,Started a small business,Government policies,2023
RESP_0202,Employed,Other,46-55,Kribi,"50,000-100,000",4,Rarely,41-60%,"Yes, only quantity",23142,"Less than 5,000",Rice,"Below 10,000",3,Walking,3,Less than 10%,More than twice,"Yes, occasionally",Less than 20%,0,8523,Yes,No,5,Yes,22165,300000,Education,Probably no,Borrowed money,Government policies,Before 2018
RESP_0203,Student,Undergraduate,56 - above,Kribi,"Below 50,000",6,Rarely,Less than 20%,"Yes, both quantity and quality",15936,"More than 30,000",Cooking oil,"20,001-30,000",5,Walking,1,26%-50%,Once,Rarely,Less than 20%,15102,24082,I own my home,No,4,Yes,24530,0,Food,Definitely yes,Reduced spending; Started a small business; Taking a second job,Currency depreciation,2024
RESP_0204,Unemployment,Other,36-45,Kribi,"200,001-500,000",1,Sometimes,41-60%,"Yes, only quantity",139687,"Less than 5,000",Plantains / Cassava,"10,000-20,000",5,Bike,11,Less than 10%,Once,"Yes, occasionally",36-50%,106025,11744,Yes,"Yes, more than once",4,Yes,4082,35000,Utilities,No,Taking a second job,Inflation (rising prices),Before 2018
RESP_0205,Employed,Postgraduate,26-35,Bafoussam,"Below 50,000",4,Never,more than 60%,No,17328,"5,000-15,000",Fish / Meat,"20,001-30,000",4,Walking,8,10-25%,Never,"Yes, frequently",20-35%,0,13710,I own my home,"Yes, once",5,No,11091,35000,Utilities,Definitely no,Taking a second job; Relocated to a cheaper area,Currency depreciation,2021
RESP_0206,Unemployment,Postgraduate,18-25,Garoua,"Above 500,000",8,Rarely,41-60%,"Yes, both quantity and quality",315025,"15001-30,000",Cooking oil,"Above 30,000",3,Bike,2,26%-50%,Twice,"Yes, occasionally",36-50%,241344,4920,I own my home,"Yes, once",5,Yes,2341,150000,Food,Uncertain,Relocated to a cheaper area,Fuel prices,2024
RESP_0207,Employed,Undergraduate,56 - above,Buea,"Above 500,000",7,Always,more than 60%,"Yes, both quantity and quality",284216,"Less than 5,000",Plantains / Cassava,"20,001-30,000",4,Walking,2,More than 50%,Twice,Never,36-50%,167529,3955,I own my home,"Yes, once",3,No,34046,300000,Rent,No,Started a small business,Government policies,2018
RESP_0208,Student,Other,56 - above,Bamenda,"100,001-200,000",7,Always,more than 60%,"Yes, only quality",71871,"5,000-15,000",Onions & Tomatoes,"Below 10,000",4,Private car/bike/bicycle,0,Less than 10%,Never,Never,36-50%,38024,3163,Yes,"Yes, more than once",3,No,33082,75000,Utilities,Definitely no,Borrowed money; Taking a second job,Inflation (rising prices),2021
RESP_0209,Student,Postgraduate,56 - above,Douala,"Below 50,000",4,Rarely,41-60%,"Yes, only quality",12234,"More than 30,000",Plantains / Cassava,"20,001-30,000",5,Public bus,4,26%-50%,Twice,"Yes, occasionally",More than 50%,15939,20692,I own my home,"Yes, more than once",4,Yes,5552,300000,Education,Definitely yes,Taking a second job; Borrowed money; Relocated to a cheaper area,Other,2025
RESP_0210,Unemployment,Undergraduate,36-45,Yaoundé,"Above 500,000",8,Never,41-60%,"Yes, both quantity and quality",294308,"5,000-15,000",Plantains / Cassava,"20,001-30,000",4,Walking,10,26%-50%,More than twice,"Yes, occasionally",20-35%,221446,23415,Yes,"Yes, more than once",3,Yes,5570,300000,Food,Probably yes,Taking a second job; Started a small business; Relocated to a cheaper area,Fuel prices,2023
RESP_0211,Employed,Postgraduate,46-55,Douala,"100,001-200,000",3,Always,41-60%,No,79659,"More than 30,000",Cooking oil,"10,000-20,000",5,Public bus,7,More than 50%,More than twice,"Yes, occasionally",20-35%,50135,10528,No,"Yes, once",4,No,30012,150000,Food,Probably yes,Taking a second job; Relocated to a cheaper area,Other,2021
RESP_0212,Unemployment,Vocational,56 - above,Maroua,"100,001-200,000",1,Sometimes,more than 60%,No,48194,"Less than 5,000",Cooking oil,"Above 30,000",5,Public bus,6,26%-50%,Twice,"Yes, occasionally",20-35%,33918,17922,I own my home,"Yes, once",4,No,23125,0,Transportation,No,Taking a second job,Other,2023
RESP_0213,Self-employed,Undergraduate,56 - above,Maroua,"200,001-500,000",6,Never,more than 60%,"Yes, only quality",138659,"Less than 5,000",Onions & Tomatoes,"Below 10,000",5,Public bus,4,10-25%,Never,Rarely,20-35%,130230,13070,Yes,"Yes, once",4,Yes,19421,150000,Transportation,Definitely yes,Borrowed money; Started a small business; Reduced spending,Currency depreciation,2025
RESP_0214,Student,Postgraduate,36-45,Kribi,"Above 500,000",8,Always,more than 60%,"Yes, only quality",263284,"15001-30,000",Plantains / Cassava,"Above 30,000",3,Private car/bike/bicycle,5,Less than 10%,Twice,"Yes, occasionally",More than 50%,246732,7723,Yes,No,4,Yes,28870,75000,Healthcare,Definitely yes,Borrowed money; Started a small business; Relocated to a cheaper area,Government policies,2020
RESP_0215,Unemployment,Other,26-35,Bamenda,"Below 50,000",7,Always,more than 60%,"Yes, both quantity and quality",14619,"5,000-15,000",Onions & Tomatoes,"Below 10,000",5,Walking,5,Less than 10%,Once,"Yes, frequently",36-50%,9646,8703,No,"Yes, more than once",4,No,32897,0,Utilities,Uncertain,Relocated to a cheaper area; Started a small business; Borrowed money,Inflation (rising prices),2025
RESP_0216,Student,Other,56 - above,Douala,"100,001-200,000",2,Sometimes,20-40%,"Yes, only quality",60867,"15001-30,000",Bread,"10,000-20,000",5,Bike,10,10-25%,More than twice,"Yes, occasionally",20-35%,55796,21439,I own my home,"Yes, more than once",3,Yes,16000,300000,Healthcare,Probably yes,Started a small business,Currency depreciation,2021
RESP_0217,Student,Postgraduate,26-35,Garoua,"Above 500,000",2,Rarely,more than 60%,"Yes, only quantity",224403,"Less than 5,000",Cooking oil,"Below 10,000",3,Public bus,10,10-25%,Twice,Rarely,Less than 20%,173403,20504,No,No,3,No,21112,300000,Education,Probably yes,Started a small business; Relocated to a cheaper area,Currency depreciation,2026
RESP_0218,Student,Vocational,46-55,Maroua,"50,000-100,000",5,Sometimes,Less than 20%,"Yes, only quality",23687,"5,000-15,000",Bread,"20,001-30,000",5,Public bus,6,Less than 10%,More than twice,"Yes, occasionally",20-35%,20208,6074,I own my home,"Yes, more than once",4,Yes,34247,75000,Rent,Definitely no,Relocated to a cheaper area; Borrowed money; Taking a second job,Fuel prices,2023
RESP_0219,Self-employed,Postgraduate,46-55,Kribi,"200,001-500,000",8,Always,20-40%,"Yes, only quantity",142459,"15001-30,000",Rice,"Above 30,000",5,Walking,1,More than 50%,Never,"Yes, frequently",36-50%,100439,10200,I own my home,"Yes, more than once",4,No,7694,75000,Utilities,Definitely no,Borrowed money; Taking a second job,Inflation (rising prices),Before 2018
RESP_0220,Student,Undergraduate,36-45,Maroua,"50,000-100,000",2,Always,20-40%,"Yes, only quality",32069,"5,000-15,000",Plantains / Cassava,"10,000-20,000",4,Private car/bike/bicycle,10,10-25%,Twice,Never,More than 50%,20062,12503,Yes,"Yes, once",5,Yes,31048,150000,Food,Uncertain,Borrowed money; Taking a second job; Started a small business,Other,2018
RESP_0221,Employed,Undergraduate,26-35,Kribi,"50,000-100,000",1,Always,20-40%,"Yes, only quantity",28566,"More than 30,000",Bread,"10,000-20,000",4,Private car/bike/bicycle,13,More than 50%,More than twice,"Yes, occasionally",More than 50%,29406,23130,Yes,No,4,No,13877,150000,Healthcare,Definitely yes,Borrowed money; Relocated to a cheaper area,Government policies,2022
RESP_0222,Employed,Undergraduate,36-45,Buea,"50,000-100,000",1,Rarely,Less than 20%,"Yes, only quantity",29420,"More than 30,000",Cooking oil,"Below 10,000",4,Private car/bike/bicycle,9,10-25%,Once,Never,More than 50%,20713,15833,No,"Yes, more than once",3,No,8665,35000,Healthcare,No,Reduced spending; Borrowed money,Government policies,2024
RESP_0223,Unemployment,Vocational,26-35,Yaoundé,"100,001-200,000",1,Never,20-40%,"Yes, only quantity",64194,"More than 30,000",Rice,"Above 30,000",3,Public bus,8,Less than 10%,Once,"Yes, frequently",Less than 20%,46925,7623,Yes,"Yes, more than once",3,No,5655,35000,Utilities,Definitely no,Reduced spending,Inflation (rising prices),2019
RESP_0224,Self-employed,Vocational,26-35,Yaoundé,"200,001-500,000",1,Rarely,20-40%,"Yes, only quality",117610,"More than 30,000",Fish / Meat,"Below 10,000",4,Public bus,1,10-25%,More than twice,"Yes, occasionally",Less than 20%,91495,9627,Yes,"Yes, once",3,Yes,16726,0,Healthcare,Definitely yes,Reduced spending; Relocated to a cheaper area; Started a small business,Inflation (rising prices),2018
RESP_0225,Employed,Other,56 - above,Yaoundé,"Above 500,000",4,Rarely,41-60%,"Yes, both quantity and quality",331038,"15001-30,000",Bread,"Above 30,000",3,Public bus,0,26%-50%,Once,"Yes, occasionally",20-35%,201918,22017,I own my home,"Yes, once",3,No,21064,150000,Healthcare,Probably no,Started a small business; Relocated to a cheaper area,Fuel prices,2020
RESP_0226,Unemployment,Postgraduate,46-55,Kribi,"100,001-200,000",4,Sometimes,20-40%,"Yes, only quality",48214,"More than 30,000",Cooking oil,"Above 30,000",5,Private car/bike/bicycle,3,More than 50%,Once,"Yes, frequently",More than 50%,38009,22555,No,"Yes, more than once",4,Yes,2737,300000,Utilities,Uncertain,Taking a second job,Government policies,2023
RESP_0227,Self-employed,Postgraduate,56 - above,Douala,"Below 50,000",3,Never,Less than 20%,No,21655,"15001-30,000",Plantains / Cassava,"Above 30,000",3,Walking,2,26%-50%,Once,"Yes, occasionally",More than 50%,13484,21660,Yes,"Yes, more than once",4,Yes,21555,300000,Rent,Definitely no,Relocated to a cheaper area; Borrowed money,Inflation (rising prices),2018
RESP_0228,Student,Other,56 - above,Maroua,"Below 50,000",2,Always,41-60%,No,14832,"5,000-15,000",Cooking oil,"10,000-20,000",3,Public bus,3,26%-50%,Once,"Yes, occasionally",36-50%,15077,11958,No,No,3,Yes,8405,35000,Healthcare,Definitely no,Reduced spending,Other,Before 2018
RESP_0229,Student,Undergraduate,36-45,Maroua,"50,000-100,000",6,Never,more than 60%,"Yes, only quality",30702,"15001-30,000",Bread,"20,001-30,000",3,Public bus,1,Less than 10%,More than twice,"Yes, occasionally",More than 50%,27951,12188,I own my home,No,5,Yes,16890,35000,Food,No,Taking a second job; Started a small business,Currency depreciation,2024
RESP_0230,Student,Other,26-35,Douala,"100,001-200,000",6,Never,Less than 20%,"Yes, both quantity and quality",49798,"15001-30,000",Cooking oil,"Below 10,000",4,Bike,2,10-25%,Never,Rarely,20-35%,47361,15788,No,"Yes, more than once",3,No,23638,35000,Healthcare,Probably no,Borrowed money; Relocated to a cheaper area,Fuel prices,2025
RESP_0231,Employed,Undergraduate,18-25,Yaoundé,"50,000-100,000",7,Rarely,Less than 20%,No,33668,"5,000-15,000",Fish / Meat,"10,000-20,000",4,Walking,14,Less than 10%,Never,"Yes, frequently",Less than 20%,17631,22639,No,No,4,No,8238,75000,Education,Definitely no,Borrowed money,Other,2019
RESP_0232,Employed,Postgraduate,46-55,Bamenda,"200,001-500,000",3,Sometimes,41-60%,No,119885,"5,000-15,000",Rice,"Below 10,000",5,Public bus,6,Less than 10%,Never,Never,More than 50%,91880,14376,I own my home,No,3,No,22243,75000,Food,Probably no,Taking a second job; Relocated to a cheaper area,Fuel prices,2023
RESP_0233,Employed,Undergraduate,26-35,Bamenda,"Above 500,000",4,Never,41-60%,No,278726,"5,000-15,000",Cooking oil,"10,000-20,000",3,Walking,10,Less than 10%,Twice,Never,More than 50%,216685,12724,I own my home,"Yes, once",3,Yes,22956,150000,Food,Probably yes,Relocated to a cheaper area; Started a small business; Taking a second job,Inflation (rising prices),2024
RESP_0234,Student,Postgraduate,36-45,Kribi,"Above 500,000",1,Never,20-40%,No,235082,"More than 30,000",Onions & Tomatoes,"Above 30,000",5,Public bus,0,10-25%,Never,Never,36-50%,230041,5103,No,"Yes, more than once",5,Yes,28219,300000,Food,Uncertain,Borrowed money; Started a small business; Reduced spending,Currency depreciation,2026
RESP_0235,Unemployment,Undergraduate,46-55,Douala,"100,001-200,000",1,Never,more than 60%,"Yes, both quantity and quality",54993,"Less than 5,000",Plantains / Cassava,"Below 10,000",5,Private car/bike/bicycle,11,Less than 10%,Once,"Yes, occasionally",Less than 20%,54549,4180,Yes,No,3,Yes,25466,150000,Rent,Definitely yes,Taking a second job,Fuel prices,2019
RESP_0236,Employed,Other,26-35,Bamenda,"Above 500,000",4,Always,more than 60%,"Yes, only quality",345498,"5,000-15,000",Plantains / Cassava,"10,000-20,000",5,Bike,4,10-25%,Never,Never,36-50%,0,19349,Yes,No,3,No,14463,35000,Transportation,Uncertain,Taking a second job; Relocated to a cheaper area; Started a small business,Government policies,2019
RESP_0237,Employed,Postgraduate,18-25,Douala,"100,001-200,000",8,Always,more than 60%,"Yes, both quantity and quality",76495,"15001-30,000",Plantains / Cassava,"Above 30,000",3,Walking,10,Less than 10%,Once,Never,36-50%,43541,11292,No,"Yes, more than once",3,Yes,3442,300000,Education,Uncertain,Relocated to a cheaper area; Taking a second job,Currency depreciation,2025
RESP_0238,Unemployment,Vocational,26-35,Buea,"50,000-100,000",6,Rarely,more than 60%,"Yes, only quality",27642,"Less than 5,000",Onions & Tomatoes,"Above 30,000",4,Bike,5,More than 50%,Once,"Yes, frequently",20-35%,23674,8802,I own my home,"Yes, once",3,No,24324,75000,Food,Definitely yes,Relocated to a cheaper area; Borrowed money,Inflation (rising prices),2019
RESP_0239,Employed,Postgraduate,56 - above,Douala,"Below 50,000",3,Never,Less than 20%,"Yes, only quality",19096,"Less than 5,000",Onions & Tomatoes,"Below 10,000",4,Bike,14,26%-50%,Once,"Yes, frequently",Less than 20%,13019,16416,I own my home,"Yes, more than once",4,No,2311,300000,Healthcare,Probably no,Borrowed money; Reduced spending; Taking a second job,Government policies,2019
RESP_0240,Student,Postgraduate,46-55,Garoua,"50,000-100,000",8,Never,Less than 20%,"Yes, only quantity",31976,"5,000-15,000",Rice,"Below 10,000",4,Bike,12,More than 50%,Twice,Never,More than 50%,27320,11857,Yes,"Yes, more than once",5,Yes,10075,300000,Rent,Definitely yes,Started a small business,Other,2018
RESP_0241,Self-employed,Postgraduate,18-25,Bamenda,"100,001-200,000",6,Rarely,Less than 20%,No,66520,"Less than 5,000",Rice,"20,001-30,000",4,Walking,8,26%-50%,Once,"Yes, occasionally",Less than 20%,52392,5899,No,No,4,Yes,30902,75000,Transportation,Probably yes,Started a small business; Reduced spending; Borrowed money,Fuel prices,2021
RESP_0242,Self-employed,Undergraduate,46-55,Bamenda,"Below 50,000",1,Never,more than 60%,"Yes, both quantity and quality",18748,"Less than 5,000",Onions & Tomatoes,"Above 30,000",3,Private car/bike/bicycle,5,10-25%,Never,Never,36-50%,0,3102,I own my home,No,4,No,9481,300000,Food,Uncertain,Relocated to a cheaper area,Other,Before 2018
RESP_0243,Student,Postgraduate,26-35,Douala,"100,001-200,000",6,Rarely,20-40%,"Yes, only quality",59198,"5,000-15,000",Bread,"Below 10,000",4,Walking,4,26%-50%,Once,Rarely,Less than 20%,33631,5366,No,"Yes, once",5,No,24054,300000,Rent,Uncertain,Reduced spending,Inflation (rising prices),2023
RESP_0244,Unemployment,Other,46-55,Garoua,"Below 50,000",5,Sometimes,20-40%,"Yes, only quality",19003,"More than 30,000",Onions & Tomatoes,"10,000-20,000",3,Bike,7,More than 50%,Never,"Yes, occasionally",20-35%,11111,17933,Yes,"Yes, more than once",3,Yes,22577,75000,Food,Definitely no,Relocated to a cheaper area; Started a small business,Other,2026
RESP_0245,Unemployment,Other,56 - above,Garoua,"100,001-200,000",5,Rarely,Less than 20%,No,47791,"15001-30,000",Onions & Tomatoes,"10,000-20,000",5,Public bus,13,Less than 10%,Never,"Yes, occasionally",Less than 20%,32072,9574,I own my home,"Yes, more than once",5,Yes,23686,300000,Healthcare,Probably no,Taking a second job,Currency depreciation,Before 2018
RESP_0246,Unemployment,Undergraduate,46-55,Garoua,"Below 50,000",6,Rarely,20-40%,"Yes, only quality",18613,"More than 30,000",Onions & Tomatoes,"10,000-20,000",5,Public bus,5,Less than 10%,Never,Never,Less than 20%,12987,15607,I own my home,No,4,No,34387,0,Rent,Definitely no,Taking a second job; Started a small business; Reduced spending,Inflation (rising prices),2021
RESP_0247,Self-employed,Postgraduate,36-45,Maroua,"Below 50,000",4,Rarely,Less than 20%,"Yes, both quantity and quality",19765,"15001-30,000",Onions & Tomatoes,"Below 10,000",4,Private car/bike/bicycle,10,10-25%,Twice,"Yes, frequently",36-50%,11702,14697,Yes,"Yes, more than once",5,No,2277,150000,Transportation,No,Taking a second job; Started a small business; Reduced spending,Fuel prices,2019
RESP_0248,Self-employed,Postgraduate,18-25,Bafoussam,"Above 500,000",6,Always,more than 60%,"Yes, both quantity and quality",230748,"15001-30,000",Plantains / Cassava,"10,000-20,000",3,Public bus,14,10-25%,More than twice,Never,More than 50%,182465,10929,No,"Yes, once",3,Yes,11514,35000,Food,No,Taking a second job,Currency depreciation,2025
RESP_0249,Self-employed,Postgraduate,18-25,Kribi,"50,000-100,000",5,Always,20-40%,"Yes, only quantity",37227,"Less than 5,000",Cooking oil,"Below 10,000",5,Private car/bike/bicycle,3,Less than 10%,Never,Rarely,20-35%,29626,18656,No,"Yes, once",5,Yes,11005,75000,Transportation,Definitely yes,Borrowed money; Taking a second job,Inflation (rising prices),2023
RESP_0250,Student,Postgraduate,26-35,Kribi,"Below 50,000",7,Rarely,more than 60%,"Yes, only quantity",17998,"Less than 5,000",Plantains / Cassava,"20,001-30,000",5,Walking,5,Less than 10%,More than twice,Rarely,20-35%,14141,9745,Yes,"Yes, once",4,No,29990,75000,Healthcare,Probably yes,Borrowed money; Started a small business; Taking a second job,Currency depreciation,2023
RESP_0251,Self-employed,Undergraduate,46-55,Bafoussam,"100,001-200,000",8,Rarely,more than 60%,No,73810,"More than 30,000",Fish / Meat,"10,000-20,000",4,Private car/bike/bicycle,10,Less than 10%,More than twice,"Yes, occasionally",More than 50%,45765,18114,I own my home,"Yes, more than once",3,No,10303,35000,Transportation,Uncertain,Reduced spending; Relocated to a cheaper area; Started a small business,Inflation (rising prices),2026
RESP_0252,Student,Vocational,26-35,Maroua,"50,000-100,000",6,Always,20-40%,"Yes, only quantity",28489,"5,000-15,000",Onions & Tomatoes,"20,001-30,000",4,Private car/bike/bicycle,11,10-25%,More than twice,Never,Less than 20%,25001,5755,No,"Yes, once",4,No,26061,75000,Utilities,No,Taking a second job; Borrowed money; Reduced spending,Inflation (rising prices),2024
RESP_0253,Employed,Undergraduate,36-45,Bamenda,"Above 500,000",5,Rarely,20-40%,No,316533,"More than 30,000",Plantains / Cassava,"20,001-30,000",3,Bike,9,10-25%,Never,Never,More than 50%,192065,13154,I own my home,No,5,No,6773,75000,Healthcare,Definitely yes,Reduced spending; Taking a second job; Borrowed money,Government policies,2019
RESP_0254,Student,Other,56 - above,Douala,"50,000-100,000",3,Always,Less than 20%,"Yes, only quantity",37724,"Less than 5,000",Bread,"Above 30,000",5,Bike,10,10-25%,More than twice,Never,More than 50%,27232,7734,Yes,"Yes, once",5,No,5249,300000,Education,Definitely no,Reduced spending; Started a small business,Other,2024
RESP_0255,Self-employed,Postgraduate,26-35,Maroua,"Below 50,000",5,Sometimes,more than 60%,"Yes, only quality",20294,"More than 30,000",Onions & Tomatoes,"20,001-30,000",4,Walking,0,More than 50%,More than twice,"Yes, frequently",20-35%,13392,8057,I own my home,No,5,No,9289,75000,Utilities,Uncertain,Taking a second job,Fuel prices,2018
RESP_0256,Student,Other,36-45,Maroua,"200,001-500,000",6,Rarely,more than 60%,"Yes, only quality",138318,"More than 30,000",Onions & Tomatoes,"Below 10,000",3,Walking,12,More than 50%,More than twice,Never,Less than 20%,117044,23410,No,"Yes, more than once",4,Yes,28083,75000,Transportation,Probably yes,Taking a second job; Relocated to a cheaper area; Reduced spending,Fuel prices,2019
RESP_0257,Unemployment,Undergraduate,18-25,Garoua,"Above 500,000",5,Rarely,20-40%,"Yes, only quality",301716,"15001-30,000",Plantains / Cassava,"Above 30,000",4,Walking,5,More than 50%,More than twice,"Yes, frequently",20-35%,229905,5603,I own my home,"Yes, more than once",5,No,17199,300000,Healthcare,Definitely no,Taking a second job; Relocated to a cheaper area; Reduced spending,Other,2020
RESP_0258,Employed,Postgraduate,18-25,Maroua,"200,001-500,000",8,Never,Less than 20%,"Yes, only quantity",141809,"More than 30,000",Cooking oil,"Below 10,000",3,Public bus,4,More than 50%,Twice,"Yes, occasionally",More than 50%,123762,24391,No,"Yes, more than once",4,No,17248,75000,Education,No,Taking a second job; Relocated to a cheaper area,Government policies,2024
RESP_0259,Self-employed,Other,18-25,Kribi,"50,000-100,000",3,Sometimes,Less than 20%,"Yes, only quality",35599,"5,000-15,000",Plantains / Cassava,"20,001-30,000",4,Walking,12,10-25%,Never,Never,Less than 20%,27828,14714,I own my home,"Yes, once",4,No,26012,75000,Rent,Probably no,Taking a second job; Started a small business,Inflation (rising prices),2020
RESP_0260,Employed,Undergraduate,46-55,Kribi,"100,001-200,000",5,Always,41-60%,No,62061,"5,000-15,000",Fish / Meat,"Above 30,000",3,Public bus,2,10-25%,Never,"Yes, occasionally",36-50%,31632,16392,No,"Yes, once",3,No,6120,35000,Utilities,Definitely no,Started a small business; Taking a second job; Relocated to a cheaper area,Inflation (rising prices),2022
RESP_0261,Employed,Postgraduate,46-55,Douala,"Below 50,000",1,Sometimes,41-60%,No,15261,"15001-30,000",Bread,"Above 30,000",3,Walking,6,Less than 10%,Once,"Yes, frequently",20-35%,10055,6558,No,"Yes, once",3,No,27860,75000,Healthcare,Probably yes,Started a small business; Reduced spending; Borrowed money,Fuel prices,2019
RESP_0262,Employed,Postgraduate,56 - above,Garoua,"50,000-100,000",5,Rarely,20-40%,No,37716,"15001-30,000",Rice,"Below 10,000",5,Bike,7,Less than 10%,Once,Rarely,More than 50%,26375,9486,I own my home,"Yes, once",3,No,8028,150000,Rent,Probably yes,Reduced spending; Borrowed money,Fuel prices,2018
RESP_0263,Employed,Other,56 - above,Bafoussam,"100,001-200,000",4,Sometimes,41-60%,No,68563,"5,000-15,000",Fish / Meat,"20,001-30,000",3,Bike,6,More than 50%,Once,"Yes, occasionally",Less than 20%,46967,11562,Yes,No,4,Yes,11048,300000,Transportation,Definitely no,Started a small business,Fuel prices,2024
RESP_0264,Unemployment,Vocational,36-45,Bafoussam,"200,001-500,000",2,Always,41-60%,"Yes, both quantity and quality",182515,"15001-30,000",Rice,"10,000-20,000",3,Private car/bike/bicycle,4,26%-50%,Twice,"Yes, occasionally",36-50%,0,12795,Yes,"Yes, once",5,No,34934,150000,Healthcare,Uncertain,Reduced spending,Inflation (rising prices),2020
RESP_0265,Self-employed,Other,26-35,Yaoundé,"Above 500,000",7,Rarely,more than 60%,"Yes, only quantity",250166,"5,000-15,000",Rice,"20,001-30,000",3,Private car/bike/bicycle,0,Less than 10%,More than twice,Never,20-35%,0,13708,No,"Yes, more than once",3,No,23115,75000,Utilities,Definitely no,Reduced spending; Taking a second job; Started a small business,Inflation (rising prices),2024
RESP_0266,Employed,Other,46-55,Buea,"Below 50,000",3,Rarely,more than 60%,"Yes, both quantity and quality",13940,"5,000-15,000",Cooking oil,"Above 30,000",3,Walking,2,More than 50%,More than twice,Rarely,More than 50%,15021,7122,I own my home,"Yes, once",3,Yes,13146,0,Rent,Uncertain,Relocated to a cheaper area; Started a small business,Inflation (rising prices),Before 2018
RESP_0267,Self-employed,Vocational,36-45,Bafoussam,"50,000-100,000",1,Rarely,41-60%,"Yes, only quantity",35826,"5,000-15,000",Plantains / Cassava,"Above 30,000",4,Public bus,2,More than 50%,Never,"Yes, frequently",Less than 20%,16070,14157,Yes,"Yes, once",5,No,7106,150000,Healthcare,Definitely no,Borrowed money; Reduced spending,Government policies,2025
RESP_0268,Self-employed,Vocational,36-45,Buea,"Above 500,000",7,Sometimes,more than 60%,No,295543,"Less than 5,000",Bread,"Above 30,000",5,Private car/bike/bicycle,7,10-25%,Never,Rarely,More than 50%,0,19048,Yes,"Yes, once",5,Yes,12876,150000,Education,Probably no,Borrowed money,Inflation (rising prices),2018
RESP_0269,Student,Other,46-55,Yaoundé,"100,001-200,000",4,Rarely,41-60%,"Yes, only quality",56056,"Less than 5,000",Onions & Tomatoes,"20,001-30,000",5,Private car/bike/bicycle,9,26%-50%,Once,"Yes, frequently",More than 50%,41601,5847,I own my home,"Yes, more than once",5,No,18671,75000,Healthcare,Probably no,Started a small business,Inflation (rising prices),2024
RESP_0270,Student,Undergraduate,18-25,Bamenda,"Above 500,000",5,Rarely,41-60%,No,290787,"More than 30,000",Cooking oil,"Below 10,000",5,Walking,14,Less than 10%,More than twice,"Yes, frequently",36-50%,160721,7509,No,"Yes, more than once",5,Yes,33367,150000,Transportation,No,Started a small business; Taking a second job; Relocated to a cheaper area,Government policies,2023
RESP_0271,Self-employed,Undergraduate,56 - above,Bamenda,"Below 50,000",6,Never,more than 60%,"Yes, both quantity and quality",20315,"5,000-15,000",Rice,"Above 30,000",3,Private car/bike/bicycle,0,Less than 10%,Twice,Never,More than 50%,9304,24216,I own my home,"Yes, once",3,Yes,14227,150000,Utilities,Definitely yes,Reduced spending; Borrowed money,Government policies,2024
RESP_0272,Unemployment,Postgraduate,26-35,Kribi,"200,001-500,000",1,Sometimes,more than 60%,"Yes, both quantity and quality",113980,"Less than 5,000",Cooking oil,"Above 30,000",5,Bike,8,More than 50%,Once,Never,More than 50%,111731,12276,I own my home,"Yes, once",3,Yes,2344,75000,Transportation,Uncertain,Taking a second job; Borrowed money,Other,2019
